23449,6500400,單 117之   1號以下,odd;<NUMBER:117之1
23445,6500400,單 119號至 191號,odd;~NUMBER:119:191
23447,6500400,單 193號至 275號,odd;~NUMBER:193:275
23446,6500400,單 277號至 373號,odd;~NUMBER:277:373
23444,6500400,單 375號以上,odd;>NUMBER:375
23449,6500400,雙 162號以下,even;<NUMBER:162
23445,6500400,雙 164號至 240號,even;~NUMBER:164:240
23447,6500400,雙 242號至 312號,even;~NUMBER:242:312
23446,6500400,雙 314號至 420號,even;~NUMBER:314:420
23444,6500400,雙 422號以上,even;>NUMBER:422
23574,6500300,單 221號至 255號,odd;~NUMBER:221:255
23574,6500300,雙 242號至 292號,even;~NUMBER:242:292
